job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
Senior Backend Engineer- Node.JS (m/f/d),[],"['ABOUT THE JOB..', '•\t\tFlexible working times and home office when you need it']",Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/98e1e9b6-4ae3-4c08-8abd-f5a811b95219/apply,True
Senior Android Engineer - ExoPlayer (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/a2b661a3-4296-4289-9158-35fc27c42d5a/apply,True
Javascript Engineer (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/50036bfb-e40b-47e7-b33f-7fbe3163ef49/apply,True
iOS Team Lead (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/cd2dc6e2-b1ec-4d79-9b66-43037f95b238/apply,True
Intern/Working Student Quality Assurance - OTT (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,student,,Yesterday,https://jobs.lever.co/joyn/cf8187b8-77c0-42b9-aeb3-3ee7d5ae0b1c/apply,True
Team Lead Analytics & Data Science,[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/eaad5324-dfef-4bbe-a540-15f0ab20d577/apply,True
Senior Data Scientist (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/cbc9af6f-7642-43c1-94ea-f155b453a6d3/apply,True
Senior Big Data Engineer (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/8e588223-4fc7-46da-befb-84cde214ee6e/apply,True
QA Automation Engineer - Data (f/m/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/8e6d614b-ed00-4d96-9233-414ede322658/apply,True
Lead Data Engineer - Stream Processing (f/m/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/6144a967-fce5-45e2-995a-c998a602a73e/apply,True
Data Tracking Specialist,[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/321b9e9e-2b4c-4dbe-943b-44683a6bef6e/apply,True
Data Engineer (DWH) - Data Vault - (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/6749da9e-6c2d-4222-aafb-81416d95cff7/apply,True
Senior Product Manager (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/35e0d5b9-c7c0-42d8-8f21-72f56ab0dcd9/apply,True
Senior Product Manager - VoD & Ads (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/38aabd0e-46d0-4b0c-b8ef-52ea48c270d3/apply,True
Partnerships Delivery Coordinator (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/f1766550-a5da-4493-8176-4205f21134b0/apply,True
Manager Business Development &  Brand Relations (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/15cbda4f-af0d-4ae7-928c-c19d4ec4ba77/apply,True
Intern/Working Student Distribution and Partnerships (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,student,,Yesterday,https://jobs.lever.co/joyn/e1fd9a1e-3cf5-4ffb-90c6-6d7a56400471/apply,True
Business Owner Media Sales (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/3a159f59-5b2d-47cc-aa2c-365a30ef3e42/apply,True
Social Media Manager (m/f/d),[],"['•\t\tBrand new office located in the heart of Munich with parking, showers and a canteen']",Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/38565d7f-4259-4677-8c9a-f83f8187ed75/apply,True
PR Manager/ PR Referent (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/66c819ce-c7a2-4d30-99fd-b791bcfa4263/apply,True
Junior-Redakteur Kommunikation mit Schwerpunkt interne Kommunikation (m/w/d),[],"['•\t\tBrand new office located in the heart of Munich with parking, showers and a canteen']",Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/ad1c3694-4ff8-40f0-afce-6f47d889018e/apply,True
Praktikant/ Werkstudent in Partner Marketing (m/f/d),[],"['Wir haben die großartige Gelegenheit für dich, als Praktikant oder Werkstudent in unser Partner-Marketing-Team einzusteigen. Unterstütze uns bei der Durchführung von Kampagnen mit namhaften Kooperationspartnern wie Apple, Vodafone, Sony, Google und vielen anderen in einem wachsenden und zukunftsorientierten Markt. Begleite uns jetzt dabei, die Welt der Unterhaltung zu verändern.', '•\t\tFlexible working times and home office when you need it']",Best In Industry,Munich,student,,Yesterday,https://jobs.lever.co/joyn/8a4e4264-b812-4993-a7b0-505070d8dfc9/apply,True
Werkstudent Online Marketing (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,student,,Yesterday,https://jobs.lever.co/joyn/99ca9719-3218-4e05-9f42-49010f88138c/apply,True
Senior Technical Marketing Manager - Conversion/Tracking/Attribution  (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/9831e058-63f2-4ed6-82fb-d06ba04cc8e0/apply,True
General Application (m/f/d),[],"['ABOUT THE JOB', '•\t\tFlexible working times and home office when you need it']",Best In Industry,Munich,Full-time,,Yesterday,https://jobs.lever.co/joyn/ad9b667f-feae-4076-8c76-ebb91fca37bf/apply,True
Steuerberater (m/w/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/034d3001-037f-4b9c-9b96-3303a644fc24/apply,True
Working Student Design (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,student,,Yesterday,https://jobs.lever.co/joyn/4ea46d6b-e369-4ec9-ac2b-7460af41ffa1/apply,True
Executive Creative Director | Studio Lead (m/f/d),[],"['•\t\tWell-funded, stable and innovative company backed by ProSiebenSat1 and Discovery']",Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/5a87da21-977c-46b3-bcf1-50eca06f7586/apply,True
(Junior) General Admin / IT Engineer (m/f/d),[],"['ABOUT THE JOB', '•\t\tFlexible working times and home office when you need it']",Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/407f0b22-8a37-47e5-b26c-4a848a74a5d1/apply,True
Director HR (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/6fa51fbb-815f-49e4-ba96-eb7cef399b7f/apply,True
Customer Service Consultant (m/w/d),[],"['ÜBER DEN JOB', '•\t\tBrand new office located in the heart of Munich with parking, showers and a canteen']",Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/352ced7b-40ed-4e6c-881b-db264981c1de/apply,True
Praktikant/Werkstudent (m/w/d) im Customer Relationship Management (CRM),[],"['Über den Job', '•\t\tBrand new office located in the heart of Munich with parking, showers and a canteen']",Best In Industry,Munich,intern,,Yesterday,https://jobs.lever.co/joyn/53b118f3-bf0a-4ebe-a982-26cedda17525/apply,True
Werkstudent (m/w/d) Content Curation & Promotion,[],"['Über den Job', '•\t\tFlexible working times and home office when you need it']",Best In Industry,Munich,student,,Yesterday,https://jobs.lever.co/joyn/aed59852-5ae0-457d-b63d-7799520e1b36/apply,True
Teamlead Editorial / Content Curation & Promotion (m/w/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/7b612da0-ead6-4299-bb59-c17490e6f3b7/apply,True
Praktikant (m/w/d) Content Partnerships Management,[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,intern,,Yesterday,https://jobs.lever.co/joyn/ac6f22bf-c098-45f4-85ca-0f0e7ac179f3/apply,True
(Junior) Content Acquisition Coordinator (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/9aa0ccdb-7f66-4f32-bb6a-6f92c7836dae/apply,True
,[],[],Best In Industry,,Full-time,,Yesterday,https://jobs.lever.co/joyn/9aa0ccdb-7f66-4f32-bb6a-6f92c7836dae,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Jackson, MS",Contract to Hire,,Yesterday,,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Dayton, OH",Contract to Hire,,Yesterday,,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Denver, CO",Contract to Hire,,Yesterday,,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Colorado Springs, CO",Contract to Hire,,Yesterday,,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Cincinnati, OH",Contract to Hire,,Yesterday,,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Columbus, OH",Contract to Hire,,Yesterday,,True
Licensed Electrician - Road Warrior,[],[],Best In Industry,"Denver, CO",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"New Castle, PA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Greensburg, PA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Mount Laurel, NJ",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Pittsburgh, PA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Jeffersontown, KY",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Lexington, KY",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Louisville, KY",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Allentown, PA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Trenton, NJ",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Harrisburg, PA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Philadelphia, PA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,Baltimore MD,Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Chino, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Sacramento, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"San Jose, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Los Angeles, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Decatur, IL",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Springfield, IL",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Peoria, IL",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Modesto, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Stockton, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Victorville, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Torrance, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Long Beach, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Anaheim, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Santa Ana, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Compton, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Irvine, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Huntington Beach, CA",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Carbondale, IL",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Bloomington, IL",Contract to Hire,,Yesterday,,True
Licensed Electrician,[],[],Best In Industry,"Champaign, IL",Contract to Hire,,Yesterday,,True
Project Superintendent,[],[],Best In Industry,Nationwide,Contract to Hire,,Yesterday,,True
Lead Industrial Data Telecommunications Technician,[],[],Best In Industry,"Fort Worth, TX",Permanent hire,,Yesterday,,True
Sr. Solutions Consultant - West,[],['Solve for what’s next—at PagerDuty.'],Best In Industry,Remote - US West,Full Time,,Yesterday,,True
Sr. Solutions Consultant - Southeast,[],['Solve for what’s next—at PagerDuty.'],Best In Industry,Remote - US East,Full Time,,Yesterday,,True
Sr. Solutions Consultant - Central,[],['Solve for what’s next—at PagerDuty.'],Best In Industry,Remote - US East,Full Time,,Yesterday,,True
Solutions Consultant - EMEA,[],"['Solve for what’s next—at PagerDuty.', 'Retirement Pension Plan']",Best In Industry,London,Full Time,,Yesterday,,True
Business Value Consultant - East,[],['Solve for what’s next—at PagerDuty.'],Best In Industry,Remote - US East,Full Time,,Yesterday,,True
Sales Development Representative,[],"['Solve for what’s next—at PagerDuty.', 'Generous parental leave']",Best In Industry,Sydney,Full Time,,Yesterday,,True
Inside Sales Representative,[],"['Solve for what’s next—at PagerDuty.', 'Paid employee Volunteer Time - 20 hours per year']",Best In Industry,Sydney,Full Time,,Yesterday,,True
Estágio em Inside Sales,[],"['Se você busca aprender todos os dias com profissionais de destaque no mercado, ter a oportunidade de inovar e ter contato com novas tecnologias voltadas para o marketing, aqui você terá tudo isso em um ambiente dinâmico, colaborativo e inteligente. ']",Best In Industry,Belo Horizonte,Intern,,Yesterday,,True
Supervisão em Suporte ao Cliente,[],"['Se você busca aprender todos os dias com profissionais de destaque no mercado, ter a oportunidade de inovar e ter contato com novas tecnologias voltadas para o marketing, aqui você terá tudo isso em um ambiente dinâmico, colaborativo e inteligente.']",Best In Industry,Belo Horizonte,Full-time,,Yesterday,,True
Supervisão em Serviços Especializados,[],"['Além disso, estamos crescendo rápido e com muita solidez! Duplicamos nosso crescimento nos últimos três anos e nosso objetivo não será diferente para os próximos. Por isso, se você é uma pessoa apaixonada por desafios, autonomia, velocidade e desenvolvimento constante, quem sabe seu lugar é aqui com a gente?!']",Best In Industry,Belo Horizonte,Full-time,,Yesterday,,True
Interaction Designer,[],[],Best In Industry,Belo Horizonte,Full-time,,Yesterday,,True
Designer Gráfico,[],"['Se você busca aprender todos os dias com profissionais de destaque no mercado, ter a oportunidade de inovar e ter contato com novas tecnologias voltadas para o marketing, aqui você terá tudo isso em um ambiente dinâmico, colaborativo e inteligente.']",Best In Industry,Belo Horizonte,Full-time,,Yesterday,,True
Analista de Suporte ao Cliente,[],[],Best In Industry,Belo Horizonte,Full-timein,,Yesterday,,True
Analista de Implementação de Estratégias Digitais,[],"['Se você busca aprender todos os dias com profissionais de destaque no mercado, ter a oportunidade de inovar e ter contato com novas tecnologias voltadas para o marketing, aqui você terá tudo isso em um ambiente dinâmico, colaborativo e inteligente.\xa0']",Best In Industry,Belo Horizonte,Full-time,,Yesterday,,True
Volunteer at DREAM,[],[],Best In Industry,Multi-Site,Volunteers and Interns,,Yesterday,,True
Fall 2019-Spring 2020 HR/Accounting Intern,[],[],Best In Industry,East Harlem- Network,Volunteers and Interns,,Yesterday,,True
Fall 2019 Volunteer Tutor,[],[],Best In Industry,East Harlem- OST,Volunteers and Interns,,Yesterday,,True
Database Intern,[],[],Best In Industry,East Harlem- Network,Volunteers and Interns,,Yesterday,,True
